MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,CARRIER_HISTORICAL,DEP_AIRPORT_HIST,DAY_HISTORICAL,DEP_BLOCK_HIST
4,6,0,1000-1059,3,3,5,110,Delta Air Lines Inc.,6837,81803,180,819756,12460183,0.000144166,0.00014866,18,Chicago Midway International,41.785,-87.752,Atlanta Municipal,0,0,0,64,13.87,0.139557586,0.180307129,0.177124023,0.147773102
3,2,0,1000-1059,2,2,31,50,Endeavor Air Inc.,14450,22191,1956,1208249,1212846,0,9.35E-05,15,LaGuardia,40.779,-73.876,Bangor International,0,0,0,48,12.08,0.155571238,0.18788289,0.132868232,0.156044805
2,5,0,1000-1059,8,2,37,173,United Air Lines Inc.,16530,43512,4679,2743323,8501631,0.000253804,0.000228985,7,Stapleton International,39.774,-104.88,Los Angeles International,0,0,0,54,10.07,0.189495755,0.240315638,0.236964685,0.187484152
4,6,0,0900-0959,11,2,37,181,Alaska Airlines Inc.,17522,21136,1629,2780593,2884187,3.23E-05,0.000174601,3,Los Angeles International,33.942,-118.408,Portland International,0,0,0,64,7.38,0.13232624,0.112840467,0.177124023,0.135373513
8,7,0,0900-0959,1,2,27,143,Southwest Airlines Co.,14220,114987,6116,1903352,13382999,6.18E-05,9.89E-05,20,McCarran International,36.08,-115.152,Spokane International,0,0,0,104,4.92,0.19254973,0.123486683,0.196519162,0.138066596
6,3,1,0700-0759,6,2,45,143,Southwest Airlines Co.,21878,112879,5954,2743323,13382999,6.18E-05,9.89E-05,13,Stapleton International,39.774,-104.88,Eppley Airfield,0,0,0,83,7.83,0.259774616,0.201805287,0.237174818,0.110787619
1,2,0,1700-1759,6,3,28,173,United Air Lines Inc.,17725,46218,2105,2780593,8501631,0.000253804,0.000228985,10,Los Angeles International,33.942,-118.408,Stapleton International,0.69,0,0,59,8.5,0.181882406,0.188723388,0.159489434,0.229538826
5,1,0,1000-1059,6,3,38,143,Southwest Airlines Co.,14585,113709,5100,1827202,13382999,6.18E-05,9.89E-05,13,Phoenix Sky Harbor International,33.436,-112.009,Hollywood-Burbank Midpoint,0,0,0,91,6.04,0.248619996,0.190984579,0.193667889,0.156042105
12,7,0,1100-1159,1,3,25,143,Southwest Airlines Co.,13152,113248,5142,1903352,13382999,6.18E-05,9.89E-05,11,McCarran International,36.08,-115.152,Will Rogers World,0,0,0,47,2.24,0.264038108,0.163150492,0.226980168,0.193888393
11,2,0,0800-0859,5,1,92,180,Delta Air Lines Inc.,31151,79989,19506,4365661,12460183,0.000144166,0.00014866,4,Atlanta Municipal,33.641,-84.427,NONE,0,0,0,63,6.71,0.10088232,0.18788289,0.153129972,0.094316995
